Country Name,Country Code,Year,Share,Latitude,Longitude
Afghanistan,AFG,2015,0.116381742,33.93911,67.709953
Albania,ALB,2015,0.028014929,41.153332,20.168331
Algeria,DZA,2015,0.305184268,28.033886,1.659626
American Samoa,ASM,2015,0.00015076,-14.270972,-170.132217
Angola,AGO,2015,0.74365989,-11.202692,17.873887
Anguilla,AIA,2015,3.95E-05,18.220554,-63.068615
Antigua and Barbuda,ATG,2015,0.000788758,17.060816,-61.796428
Argentina,ARG,2015,1.836376364,-38.416097,-63.616672
Armenia,ARM,2015,0.0198172,40.069099,45.038189
Aruba,ABW,2015,0.000768956,12.52111,-69.968338
Australia,AUS,2015,1.09134061,-25.274398,133.775136
Austria,AUT,2015,0.12023607,47.516231,14.550072
Azerbaijan,AZE,2015,0.101166104,40.143105,47.576927
Bahamas,BHS,2015,0.003875909,25.03428,-77.39628
Bahrain,BHR,2015,0.02253323,25.930414,50.637772
Bangladesh,BGD,2015,0.976335045,23.684994,90.356331
Barbados,BRB,2015,0.002542661,13.193887,-59.543198
Belarus,BLR,2015,0.335445159,53.709807,27.953389
Belgium,BEL,2015,0.180108319,50.503887,4.469936
Belize,BLZ,2015,0.028362951,17.189877,-88.49765
Benin,BEN,2015,0.09649494,9.30769,2.315834
Bermuda,BMU,2015,0.000410556,32.321384,-64.75737
Bhutan,BTN,2015,0.00469757,27.514162,90.433601
Bolivia,BOL,2015,0.660003546,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,2015,0.027871808,43.915886,17.679076
Botswana,BWA,2015,0.743818311,-22.328474,24.684866
Brazil,BRA,2015,7.408493719,-14.235004,-51.92528
British Virgin Islands,VGB,2015,0.000159456,18.420695,-64.639968
Brunei,BRN,2015,0.011704138,4.535277,114.727669
Bulgaria,BGR,2015,0.082978938,42.733883,25.48583
Burkina Faso,BFA,2015,0.193457829,12.238333,-1.561593
Burundi,BDI,2015,0.048115241,-3.373056,29.918886
Cambodia,KHM,2015,0.295633933,12.565679,104.990963
Cameroon,CMR,2015,0.789212328,7.369722,12.354722
Canada,CAN,2015,2.140471992,56.130366,-106.346771
Cape Verde,CPV,2015,0.001681598,16.002082,-24.013197
Cayman Islands,CYM,2015,0.000434872,19.513469,-80.566956
Central African Republic,CAF,2015,0.098910403,6.611111,20.939444
Chad,TCD,2015,0.251990791,15.454166,18.732207
Chile,CHL,2015,0.178610893,-35.675147,-71.542969
China,CHN,2015,13.50262725,35.86166,104.195397
Colombia,COL,2015,0.64232372,4.570868,-74.297333
Comoros,COM,2015,0.0028844,-11.875001,43.872219
Cook Islands,COK,2015,8.04E-05,-21.236736,-159.777671
Costa Rica,CRI,2015,0.117565768,9.748917,-83.753428
Croatia,HRV,2015,0.047473321,45.1,15.2
Cuba,CUB,2015,0.112286611,21.521757,-77.781167
Cyprus,CYP,2015,0.01263449,35.126413,33.429859
Denmark,DNK,2015,0.117271362,56.26392,9.501785
Djibouti,DJI,2015,0.006591711,11.825138,42.590275
Dominica,DMA,2015,0.000918268,15.414999,-61.370976
Dominican Republic,DOM,2015,0.090099474,18.735693,-70.162651
Ecuador,ECU,2015,0.330028719,-1.831239,-78.183406
Egypt,EGY,2015,0.425926603,26.820553,30.802498
El Salvador,SLV,2015,0.036617097,13.794185,-88.89653
Equatorial Guinea,GNQ,2015,0.033640837,1.650801,10.267895
Eritrea,ERI,2015,0.036200792,15.179384,39.782334
Estonia,EST,2015,0.038531775,58.595272,25.013607
Ethiopia,ETH,2015,0.769816,9.145,40.489673
Faroe Islands,,2015,0.000288045,61.892635,-6.911806
Fiji,FJI,2015,0.008953108,-16.578193,179.414413
Finland,FIN,2015,0.155669179,61.92411,25.748151
France,FRA,2015,0.95500726,46.227638,2.213749
French Guiana,GUF,2015,0.001159267,3.933889,-53.125782
French Polynesia,PYF,2015,0.001017293,-17.679742,-149.406843
Gabon,GAB,2015,0.018811585,-0.803689,11.609444
Gambia,GMB,2015,0.007925761,13.443182,-15.310139
Georgia,GEO,2015,0.034625691,42.315407,43.356892
Germany,DEU,2015,1.002484018,51.165691,10.451526
Ghana,GHA,2015,0.072984076,7.946527,-1.023194
Gibraltar,GIB,2015,0.000353288,36.137741,-5.345374
Greece,GRC,2015,0.12029044,39.074208,21.824312
Greenland,GRL,2015,0.001049226,71.706936,-42.604303
Grenada,GRD,2015,0.000440827,12.262776,-61.604171
Guadeloupe,GLP,2015,0.003132199,16.995971,-62.067641
Guam,GUM,2015,0.000292054,13.444304,144.793731
Guatemala,GTM,2015,0.180795267,15.783471,-90.230759
Guinea,GIN,2015,0.191808561,9.945587,-9.696645
Guinea-Bissau,GNB,2015,0.022000791,11.803749,-15.180413
Guyana,GUY,2015,0.256820071,4.860416,-58.93018
Haiti,HTI,2015,0.038198521,18.971187,-72.285215
Honduras,HND,2015,0.220198601,15.199999,-86.241905
Hong Kong,HKG,2015,0.039894049,22.396428,114.109497
Hungary,HUN,2015,0.125599061,47.162494,19.503304
Iceland,ISL,2015,0.010481722,64.963051,-19.020835
India,IND,2015,6.292091425,20.593684,78.96288
Indonesia,IDN,2015,8.824090992,-0.789275,113.921327
Iran,IRN,2015,0.798428492,32.427908,53.688046
Iraq,IRQ,2015,0.206971054,33.223191,43.679291
Ireland,IRL,2015,0.175168083,53.41291,-8.24389
Israel,ISR,2015,0.087840533,31.046051,34.851612
Italy,ITA,2015,0.550322962,41.87194,12.56738
Jamaica,JAM,2015,0.012585966,18.109581,-77.297508
Japan,JPN,2015,1.170197108,36.204824,138.252924
Jordan,JOR,2015,0.045575605,30.585164,36.238414
Kazakhstan,KAZ,2015,0.29834062,48.019573,66.923684
Kenya,KEN,2015,0.34396544,-0.023559,37.906193
Kiribati,KIR,2015,0.000164168,-3.370417,-168.734039
Kuwait,KWT,2015,0.094716238,29.31166,47.481766
Kyrgyzstan,KGZ,2015,0.049502394,41.20438,74.766098
Laos,LAO,2015,0.103911834,19.85627,102.495496
Latvia,LVA,2015,0.050463728,56.879635,24.603189
Lebanon,LBN,2015,0.032433161,33.854721,35.862285
Lesotho,LSO,2015,0.010043436,-29.609988,28.233608
Liberia,LBR,2015,0.120443607,6.428055,-9.429499
Libya,LBY,2015,0.054983028,26.3351,17.228331
Lithuania,LTU,2015,0.099332437,55.169438,23.881275
Luxembourg,LUX,2015,0.010803204,49.815273,6.129583
Madagascar,MDG,2015,0.254630772,-18.766947,46.869107
Malawi,MWI,2015,0.084178617,-13.254308,34.301525
Malaysia,MYS,2015,0.689537438,4.210484,101.975766
Maldives,MDV,2015,0.000927176,3.202778,73.22068
Mali,MLI,2015,0.202033732,17.570692,-3.996166
Malta,MLT,2015,0.002743063,35.937496,14.375416
Marshall Islands,MHL,2015,1.23E-05,7.131474,171.184478
Martinique,MTQ,2015,0.002202023,14.641528,-61.024174
Mauritania,MRT,2015,0.056118561,21.00789,-10.940835
Mauritius,MUS,2015,0.005219657,-20.348404,57.552152
Mayotte,MYT,2015,0.000450168,-12.8275,45.166244
Mexico,MEX,2015,1.326206286,23.634501,-102.552784
Micronesia,,2015,0.000187671,7.425554,150.550812
Moldova,MDA,2015,0.019667465,47.411631,28.369885
Mongolia,MNG,2015,0.26165854,46.862496,103.846656
Montserrat,MSR,2015,0.000170029,16.742498,-62.187366
Morocco,MAR,2015,0.243077625,31.791702,-7.09262
Mozambique,MOZ,2015,0.268333593,-18.665695,35.529562
Namibia,NAM,2015,0.091715427,-22.95764,18.49041
Nauru,NRU,2015,1.47E-05,-0.522778,166.931503
Nepal,NPL,2015,0.214354564,28.394857,84.124008
Netherlands,NLD,2015,0.318858112,52.132633,5.291266
Netherlands Antilles,ANT,2015,0.005043494,12.226079,-69.060087
New Caledonia,NCL,2015,0.002922906,-20.904305,165.618042
New Zealand,NZL,2015,0.319858581,-40.900557,174.885971
Nicaragua,NIC,2015,0.100210615,12.865416,-85.207229
Niger,NER,2015,0.165854411,17.607789,8.081666
Nigeria,NGA,2015,1.763266005,9.081999,8.675277
Niue,NIU,2015,0.000278047,-19.054445,-169.867233
North Korea,PRK,2015,0.174849686,40.339852,127.510093
Northern Mariana Islands,MNP,2015,0.000357267,17.33083,145.38469
Norway,NOR,2015,0.101128851,60.472024,8.468946
Oman,OMN,2015,0.071859377,21.512583,55.923255
Pakistan,PAK,2015,1.527436057,30.375321,69.345116
Palau,PLW,2015,0.000796194,7.51498,134.58252
Panama,PAN,2015,0.084670044,8.537981,-80.782127
Papua New Guinea,PNG,2015,0.634430207,-6.314993,143.95555
Paraguay,PRY,2015,1.053848911,-23.442503,-58.443832
Peru,PER,2015,0.670381399,-9.189967,-75.015152
Philippines,PHL,2015,0.513471187,12.879721,121.774017
Poland,POL,2015,0.560143001,51.919438,19.145136
Portugal,PRT,2015,0.118445058,39.399872,-8.224454
Puerto Rico,PRI,2015,0.013501274,18.220833,-66.590149
Qatar,QAT,2015,0.117942676,25.354826,51.183884
Romania,ROU,2015,0.187915629,45.943161,24.96676
Russia,RUS,2015,2.599027868,61.52401,105.318756
Rwanda,RWA,2015,0.049599983,-1.940278,29.873888
Saint Helena,SHN,2015,1.64E-05,-24.143474,-10.030696
Saint Kitts and Nevis,KNA,2015,0.000355759,17.357822,-62.782998
Saint Lucia,LCA,2015,0.000832324,13.909444,-60.978893
Saint Pierre and Miquelon,SPM,2015,8.80E-05,46.941936,-56.27111
Saint Vincent and the Grenadines,VCT,2015,0.000415225,12.984305,-61.287228
Samoa,WSM,2015,0.001404724,-13.759029,-172.104629
Saudi Arabia,SAU,2015,0.398658004,23.885942,45.079162
Senegal,SEN,2015,0.125821603,14.497401,-14.452362
Seychelles,SYC,2015,0.000672804,-4.679574,55.491977
Sierra Leone,SLE,2015,0.04336424,8.460555,-11.779889
Singapore,SGP,2015,0.031864447,1.352083,103.819836
Slovakia,SVK,2015,0.05639528,48.669026,19.699024
Slovenia,SVN,2015,0.027119049,46.151241,14.995463
Solomon Islands,SLB,2015,0.01048442,-9.64571,160.156194
Somalia,SOM,2015,0.234736233,5.152149,46.199616
South Africa,ZAF,2015,0.554560536,-30.559482,22.937506
South Korea,KOR,2015,0.496847747,35.907757,127.766922
Spain,ESP,2015,0.541815541,40.463667,-3.74922
Sri Lanka,LKA,2015,0.108092316,7.873054,80.771797
Sudan,SDN,2015,1.80165254,12.862807,30.217636
Suriname,SUR,2015,0.037525584,3.919305,-56.027783
Swaziland,,2015,0.009976366,-26.522503,31.465866
Sweden,SWE,2015,0.314529796,60.128161,18.643501
Switzerland,CHE,2015,0.073324462,46.818188,8.227512
Syria,SYR,2015,0.088420123,34.802075,38.996815
Taiwan,TWN,2015,0.169391457,23.69781,120.960515
Tajikistan,TJK,2015,0.053411318,38.861034,71.276093
Tanzania,TZA,2015,1.558691909,-6.369028,34.888822
Thailand,THA,2015,0.883241693,15.870032,100.992541
Timor-Leste,,2015,0.028144978,-8.874217,125.727539
Togo,TGO,2015,0.059926572,8.619543,0.824782
Tokelau,TKL,2015,2.10E-06,-8.967363,-171.855881
Tonga,TON,2015,0.000646615,-21.178986,-175.198242
Trinidad and Tobago,TTO,2015,0.071324647,10.691803,-61.222503
Tunisia,TUN,2015,0.075393613,33.886917,9.537499
